epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,394.763,1.11135,2.40685,1.41617,0.00463,0.96721,0.60577,0.33381,1.02104,3.0996,1.47661,0.00036,0.00036,0.00036
2,743.54,1.08347,1.81536,1.41077,0.94499,0.29508,0.58545,0.28299,1.19089,3.03413,1.68765,0.00070337,0.00070337,0.00070337
3,1099.15,1.14305,1.69395,1.40905,0.40017,0.22967,0.21636,0.09519,1.78503,3.26162,2.00403,0.00100912,0.00100912,0.00100912
4,1555.84,1.19499,1.65873,1.49209,0.37162,0.43629,0.32498,0.16597,1.42837,2.77201,1.83694,0.00127725,0.00127725,0.00127725
5,1934.31,1.23595,1.65718,1.54003,0.60947,0.22131,0.20764,0.11141,2.0515,3.5717,3.22283,0.00150776,0.00150776,0.00150776
6,2283.03,1.25389,1.6093,1.52836,0.53469,0.40984,0.42137,0.18246,1.66624,2.73735,2.24037,0.001505,0.001505,0.001505
7,2599.09,1.19442,1.48446,1.43946,0.50573,0.52459,0.4335,0.14925,1.80606,2.53035,2.2926,0.001406,0.001406,0.001406
8,2885.29,1.16739,1.42474,1.41983,0.57876,0.64754,0.58166,0.30149,1.47714,2.25284,1.91404,0.001307,0.001307,0.001307
9,3224.84,1.20567,1.41926,1.50578,0.65104,0.36066,0.50006,0.2554,1.54605,2.47877,1.94072,0.001208,0.001208,0.001208
10,3524,1.13513,1.27403,1.38754,0.6526,0.66393,0.62657,0.33109,1.50823,1.96688,1.74127,0.001109,0.001109,0.001109
11,4101.9,1.1385,1.58004,1.4641,0.62358,0.68033,0.60362,0.30154,1.43666,1.90934,1.76199,0.00101,0.00101,0.00101
12,4455.62,1.08758,1.41747,1.42638,0.76906,0.64754,0.7033,0.40434,1.33815,1.77502,1.68955,0.000911,0.000911,0.000911
13,4665.17,1.01155,1.30927,1.35534,0.73166,0.68852,0.74309,0.39632,1.28259,1.78374,1.697,0.000812,0.000812,0.000812
14,5020.26,1.05409,1.25247,1.40408,0.86399,0.70492,0.79198,0.39808,1.39333,1.63582,1.74792,0.000713,0.000713,0.000713
15,9787.61,1.00383,1.1405,1.35323,0.81167,0.62295,0.74454,0.42553,1.31276,1.52818,1.64903,0.000614,0.000614,0.000614
16,10048.4,0.99075,1.12319,1.31928,0.88843,0.78324,0.85823,0.53563,1.17301,1.25495,1.55488,0.000515,0.000515,0.000515
17,12278.2,0.89436,1.00052,1.27676,0.85752,0.85246,0.89465,0.51924,1.24424,1.20708,1.53586,0.000416,0.000416,0.000416
18,12527.1,0.90665,0.94209,1.23745,0.90157,0.82787,0.90669,0.5577,1.17394,1.13879,1.54122,0.000317,0.000317,0.000317
19,12853.7,0.84734,0.92396,1.2414,0.93808,0.81148,0.91531,0.57384,1.16061,1.15754,1.50314,0.000218,0.000218,0.000218
20,14557.5,0.86376,0.90252,1.21758,0.94639,0.80328,0.92075,0.58833,1.12929,1.10463,1.44926,0.000119,0.000119,0.000119
